title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history,country
SKODA FABIA,6900,70189,2016,3.0,Diesel,Hatchback,1.4,Manual,5.0,5.0,Euro 6,Unknown,Czech Republic
VAUXHALL CORSA,1495,88585,2008,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,full,United Kingdom
HYUNDAI I30,949,137000,2011,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,South Korea
MINI HATCH,2395,96731,2010,5.0,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 4,full,United Kingdom
VAUXHALL CORSA,1000,85000,2013,2.8075571177504393,Diesel,Hatchback,1.3,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
HYUNDAI COUPE,800,124196,2007,3.0,Petrol,Coupe,2.0,Manual,3.0,4.0,Euro 4,Unknown,South Korea
FORD FOCUS,798,140599,2008,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
VAUXHALL CORSA,1995,90000,2009,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
PEUGEOT 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
FORD FIESTA,1495,181693,2009,2.8075571177504393,Diesel,Hatchback,1.6,Manual,3.0,5.0,Euro 4,full,United States
VAUXHALL INSIGNIA,2950,79000,2011,4.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
SKODA FABIA,6900,70189,2016,3.0,Diesel,Hatchback,1.4,Manual,5.0,5.0,Euro 6,Unknown,Czech Republic
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
CITROEN C1,1100,164985,2008,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,4.0,Euro 4,Unknown,France
VAUXHALL CORSA,1295,109000,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
PEUGEOT 207,999,111400,2007,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
CITROEN C4,1289,135000,2010,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
VAUXHALL ASTRA,1200,134000,2004,5.0,Petrol,Hatchback,1.8,Automatic,5.0,5.0,Euro 4,Unknown,United Kingdom
CITROEN C4,1949,114000,2013,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
CITROEN C4,1949,114000,2013,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
FORD MONDEO,1195,101000,2010,3.0,Diesel,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,United States
MERCEDES-BENZ A180,14498,53055,2019,2.8075571177504393,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 6,Unknown,Germany
PEUGEOT 407,1995,89000,2007,2.8075571177504393,Petrol,Coupe,3.0,Automatic,2.0,4.0,Euro 4,Unknown,France
FORD KA,990,69000,2003,3.0,Petrol,Hatchback,1.3,Manual,3.0,4.0,Euro 3,Unknown,United States
VAUXHALL INSIGNIA,2950,79000,2011,4.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
MERCEDES-BENZ A CLASS,15900,62402,2019,1.0,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6,Unknown,Germany
FORD FOCUS,8975,86500,2017,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,United States
CITROEN C4,3399,55000,2011,2.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
SKODA FABIA,1990,150000,2007,2.0,Diesel,Hatchback,1.9,Manual,5.0,5.0,Euro 4,full,Czech Republic
FORD FOCUS,1200,95000,2009,3.0,Diesel,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,United States
MAZDA MAZDA2,1490,135800,2008,3.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4,Unknown,Japan
SAAB 9-3,2250,98000,2006,2.8075571177504393,Petrol,Convertible,2.0,Automatic,2.0,4.0,Euro 4,Unknown,Sweden
VOLKSWAGEN POLO,2800,106305,2011,4.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,full,Germany
BMW 1 SERIES,2490,86000,2011,3.0,Petrol,Coupe,2.0,Manual,2.0,4.0,Euro 5,Unknown,Germany
VAUXHALL CORSA,1695,75786,2008,3.0,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
VAUXHALL CORSA,1795,99905,2010,5.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,full,United Kingdom
VAUXHALL ASTRA,2500,95000,2011,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,full,United Kingdom
VOLKSWAGEN POLO,2495,149000,2010,1.0,Diesel,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,Germany
MERCEDES-BENZ A CLASS,15900,62402,2019,1.0,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6,Unknown,Germany
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VAUXHALL CORSA,1795,63796,2008,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
